               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.028613,            0.015474,                   0,             0.84072,             0.84211,             0.93824,             0.37001,            0.041503,             0.00862,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.02897,            0.015401,                   0,             0.78816,             0.89474,              0.9138,             0.33312,            0.041344,           0.0093136,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.028029,            0.014966,                   0,             0.89342,             0.88288,             0.89987,             0.35092,            0.043519,            0.008986,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.028642,            0.014922,                   0,             0.76849,             0.89474,             0.88902,             0.34442,            0.038702,           0.0093682,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.028479,            0.015886,                   0,             0.83553,             0.78947,             0.88137,             0.33426,            0.037306,           0.0094554,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.02818,             0.01569,                   0,             0.91511,             0.78947,             0.86099,             0.34362,            0.041957,            0.009105,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.028128,             0.01509,                   0,             0.96442,             0.73684,             0.91721,             0.32838,            0.039915,            0.010056,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.027946,            0.015345,                   0,             0.79133,             0.84211,             0.89533,             0.35351,            0.039456,            0.009515,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.027383,             0.01482,                   0,             0.75354,             0.84211,             0.88815,              0.3462,            0.036272,           0.0094578,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.027546,            0.015124,                   0,             0.76001,             0.83372,             0.83183,             0.33819,            0.036532,           0.0090027,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.026916,            0.015049,                   0,             0.87904,             0.78947,             0.89295,             0.37442,            0.037971,           0.0090196,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.027342,            0.014554,                   0,             0.84632,             0.78947,              0.9115,             0.40257,            0.038658,           0.0092893,                   0,             0.00208,             0.00208,             0.00208
                  82,               0.027,            0.014355,                   0,             0.93257,             0.78947,             0.92901,             0.35983,            0.037436,           0.0090363,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.026943,            0.014413,                   0,             0.83887,             0.82269,              0.9065,             0.35533,            0.037909,           0.0089734,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.026152,            0.014571,                   0,             0.74796,             0.93747,              0.9135,             0.35479,            0.037624,           0.0094044,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.026855,            0.014638,                   0,             0.73807,             0.89474,              0.9054,             0.36963,             0.03809,           0.0091128,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.027124,            0.014264,                   0,             0.77095,             0.88611,             0.90137,               0.368,            0.037902,           0.0092435,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.026037,            0.013736,                   0,             0.76551,             0.89474,              0.9004,              0.3561,            0.037478,            0.009315,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.026313,             0.01451,                   0,             0.82165,             0.78947,             0.89632,             0.34201,            0.036745,           0.0095224,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.026522,            0.014695,                   0,             0.87531,             0.78947,             0.90939,             0.35189,            0.038165,           0.0096891,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.025596,            0.014586,                   0,             0.83977,             0.84211,               0.916,             0.33443,            0.037222,           0.0099704,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.025558,            0.014048,                   0,             0.78521,             0.84211,             0.89657,             0.33069,            0.037667,            0.010117,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.024986,            0.013925,                   0,             0.79672,             0.82572,             0.91417,             0.36745,            0.036839,            0.010111,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.025762,            0.014222,                   0,             0.76049,             0.83586,             0.86967,             0.35206,            0.039471,            0.010267,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.025633,            0.013769,                   0,             0.70332,             0.87393,             0.89465,             0.35292,            0.038461,            0.010278,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.024767,            0.013979,                   0,               0.708,             0.89334,             0.84509,             0.34118,            0.040256,            0.010564,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.025388,            0.014064,                   0,             0.81599,             0.78947,             0.87917,             0.33222,            0.040038,            0.010078,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.025105,            0.013697,                   0,             0.80874,             0.78947,             0.87892,             0.31861,            0.039728,           0.0099757,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.025107,              0.0141,                   0,             0.82143,             0.78947,             0.88483,             0.34726,            0.038981,            0.010119,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.025121,            0.013665,                   0,             0.79675,             0.82586,             0.90039,             0.35963,            0.038718,           0.0099528,                   0,            0.000298,            0.000298,            0.000298
